SACC code(e),Country of birth(e),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(f)
3101,Andorra,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,10,0,10,0,0,10
3102,Gibraltar,10,0,10,10,10,0,10,10,10,10,10,10,10,0,10,10,0,0,10,10,0
3103,Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3104,Italy,"1,080","1,090","1,060","1,290","1,200","1,380","1,310","1,260","1,690","2,480","2,960","3,260","3,330","3,320","3,380","2,640","1,710","1,930","1,330","2,220","2,720"
3105,Malta,170,120,140,120,160,150,140,110,170,150,140,130,110,120,110,110,70,80,90,90,90
3106,Portugal,250,250,250,250,260,220,210,180,190,230,250,280,320,320,310,300,180,280,230,290,330
3107,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3108,Spain,460,420,430,590,460,460,500,470,600,890,910,"1,050","1,210","1,380","1,520","1,380",940,"1,170",810,"1,670","1,680"
3201,Albania,60,30,40,30,30,40,30,40,30,50,80,80,90,120,130,100,90,90,70,100,90
3202,Bosnia/Herzegov,370,380,360,370,380,310,340,300,350,400,340,310,320,290,280,230,260,470,350,300,320
3203,Bulgaria,80,120,100,130,90,110,110,100,60,90,110,120,130,110,130,120,100,150,90,80,90
3204,Croatia,490,590,500,520,450,440,350,380,370,420,360,410,360,330,310,230,260,510,350,320,330
3205,Cyprus,220,190,200,160,150,150,150,110,120,140,140,170,170,150,140,130,100,130,100,100,120
3206,North Macedonia,400,370,370,380,340,290,330,300,400,400,340,310,280,320,280,910,280,330,280,280,340
3207,Greece,910,880,800,840,690,570,550,420,540,720,870,770,780,890,850,750,640,830,630,560,700
3208,Moldova,10,20,30,10,20,20,10,20,20,20,30,20,30,30,30,20,30,30,10,30,40
3211,Romania,220,240,280,320,280,310,270,190,230,280,270,310,270,270,270,240,220,340,210,240,210
3212,Slovenia,80,60,70,90,80,90,70,60,70,70,100,80,90,90,80,90,50,80,60,60,60
3214,Montenegro,10,10,10,20,20,20,10,10,10,10,10,20,20,20,20,10,10,20,30,20,20
3215,Serbia,80,80,140,170,190,180,180,170,200,170,190,240,190,240,200,170,260,410,270,210,230
3216,Kosovo,0,0,0,0,10,0,10,0,10,10,10,10,10,20,20,10,20,10,10,10,10
3301,Belarus,20,20,10,30,20,30,40,30,30,30,30,40,40,40,40,30,40,40,30,40,30
3302,Czechia,520,500,440,480,490,430,480,380,340,370,430,440,430,520,480,440,270,260,200,290,280
3303,Estonia,50,70,60,90,100,200,370,390,430,550,650,570,520,510,600,560,310,240,150,290,330
3304,Hungary,270,240,220,260,230,270,270,240,240,300,310,290,270,310,350,270,220,200,160,210,220
3305,Latvia,70,90,80,90,70,60,70,60,50,60,70,50,50,70,60,40,40,40,40,40,40
3306,Lithuania,60,70,50,50,80,30,50,70,70,90,90,120,110,130,180,170,130,90,90,140,140
3307,Poland,780,850,880,930,750,790,810,660,710,790,720,830,780,810,950,760,650,770,530,520,700
3308,Russia,390,430,370,610,460,420,440,400,440,520,550,550,530,560,630,530,580,510,450,540,530
3311,Slovakia,250,270,250,260,270,210,210,170,180,210,200,260,240,290,290,270,150,170,110,150,170
3312,Ukraine,220,280,260,260,270,220,270,180,190,210,210,280,270,230,300,240,210,220,230,320,230
4101,Algeria,50,50,50,50,50,60,60,50,50,40,50,60,50,50,50,50,40,60,40,40,50
4102,Egypt,260,280,280,320,320,360,340,300,300,370,420,410,400,400,370,370,400,450,420,470,440
4103,Libya,30,30,40,40,60,80,90,130,260,320,120,50,60,50,50,40,30,80,60,40,60
4104,Morocco,40,30,50,60,50,50,60,50,60,60,60,60,80,80,80,60,60,90,70,90,100
4105,Sudan,70,100,150,190,240,230,300,260,210,280,210,190,170,190,220,420,250,270,190,230,240
4106,Tunisia,10,20,10,20,10,30,20,20,30,20,20,20,20,20,20,20,10,20,10,30,30
4107,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4108,Sp North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4111,South Sudan,0,0,0,0,0,0,0,0,10,10,10,20,10,10,30,50,30,40,40,50,50
4201,Bahrain,50,70,90,100,70,120,80,60,70,70,60,50,50,60,60,50,40,30,40,40,40
4202,Palestine,0,0,10,0,0,0,0,10,10,10,10,0,0,0,0,0,0,10,0,0,0
4203,Iran,450,560,580,680,630,630,640,610,730,"1,870","1,250","1,160","1,130",930,780,830,730,"1,090",850,950,940
4204,Iraq,340,400,310,400,520,570,540,620,760,790,530,570,600,750,730,570,590,710,620,670,610
4205,Israel,370,390,400,540,530,460,530,430,440,470,440,430,410,540,580,380,370,570,370,400,470
4206,Jordan,190,220,190,180,180,200,170,200,190,250,230,220,220,210,210,190,140,180,240,230,220
4207,Kuwait,130,180,170,170,150,160,160,180,240,300,240,300,270,430,360,340,180,160,170,180,180
4208,Lebanon,860,810,680,870,"1,080","1,040",950,710,680,700,700,760,830,700,640,490,440,590,590,710,890
4211,Oman,110,160,180,170,190,180,180,180,180,190,210,180,140,230,190,490,180,100,70,110,100
4212,Qatar,40,60,40,50,50,40,50,30,40,40,50,40,50,30,50,40,50,50,40,40,50
4213,Saudi Arabia,150,270,460,620,"1,120","1,670","2,830","3,070","3,050","2,710","2,670","2,970","2,630","2,490","2,220","2,550","2,460","1,670","1,270","1,320","1,490"
4214,Syria,130,140,120,150,140,140,120,80,70,110,90,100,100,120,140,110,80,170,180,200,170
4215,Türkiye,640,710,720,790,700,780,900,740,980,970,940,860,840,840,850,800,680,920,770,930,"1,130"
4216,Unit Arab Emir,150,170,230,300,330,440,460,390,360,420,370,310,340,310,340,430,220,300,290,380,380
4217,Yemen,20,10,10,10,10,20,10,10,10,10,10,10,10,20,10,20,10,20,20,20,20
5101,Myanmar,150,140,130,140,150,190,230,230,290,450,410,360,340,380,420,450,380,230,230,210,210
5102,Cambodia,280,210,280,330,270,250,290,290,360,350,370,440,420,510,550,550,690,540,490,490,600
5103,Laos,150,150,140,150,140,180,190,170,180,170,190,190,180,190,170,200,190,150,120,150,240
5104,Thailand,"3,070","2,830","2,660","2,860","2,960","3,510","3,840","3,530","3,280","3,120","3,150","3,130","3,420","3,850","4,190","4,370","2,790","1,860","2,190","3,690","4,230"
5105,Vietnam,"1,750","1,980","2,020","2,230","2,230","2,830","3,460","3,580","3,220","3,510","3,400","3,610","3,800","4,200","4,470","5,710","4,120","4,330","3,410","3,480","4,700"
5201,Brunei,190,180,170,230,210,230,230,220,180,190,140,150,150,140,190,160,100,60,90,80,100
5202,Indonesia,"5,930","6,350","5,430","4,690","4,580","4,990","4,980","4,750","5,210","5,620","4,860","4,500","4,470","4,450","4,870","5,120","4,030","3,330","2,870","3,660","4,850"
5203,Malaysia,"5,140","5,320","5,400","5,300","6,100","6,860","7,310","6,900","7,500","8,050","7,220","7,160","7,960","9,460","10,790","9,030","6,430","4,430","4,370","4,310","4,620"
5204,Philippines,"2,580","3,490","3,790","3,210","3,450","3,490","3,620","2,370","2,800","3,060","3,350","3,430","3,530","3,750","4,380","4,110","2,830","4,400","3,790","4,450","6,120"
5205,Singapore,"3,540","4,150","3,920","4,750","3,980","4,120","4,080","4,180","4,530","4,220","4,390","4,930","3,700","4,340","4,300","5,040","2,340","1,780","2,730","1,930","2,030"
5206,Timor-Leste,110,110,170,130,130,140,110,100,150,110,140,150,100,110,110,90,140,160,170,220,510
6101,China,"9,780","10,400","11,660","12,860","14,950","20,680","23,520","24,640","23,980","22,330","23,220","24,710","27,740","37,710","51,640","78,740","59,540","29,180","22,650","27,830","34,700"
6102,Hong Kong,"4,300","4,700","4,470","4,210","3,760","4,160","4,530","4,400","4,300","4,520","4,520","4,270","3,850","3,750","3,710","3,070","2,080","1,570","1,830","1,870","1,930"
6103,Macau,110,100,120,100,110,170,200,240,230,220,200,170,140,160,150,250,170,90,80,100,90
6104,Mongolia,70,80,90,60,70,120,140,170,210,220,240,260,270,330,510,570,840,410,190,830,"1,440"
6105,Taiwan,"2,640","2,530","2,550","2,490","2,660","3,630","3,940","4,160","5,520","8,020","10,040","8,630","8,240","7,830","8,470","9,160","4,130","2,100","1,910","3,480","5,090"
6201,Japan,"5,400","5,890","5,720","6,730","5,610","5,800","5,000","4,590","4,900","4,820","5,070","5,350","5,450","6,350","6,270","6,380","3,060","2,640","2,670","4,980","6,500"
6202,"Korea, North",100,110,120,150,100,110,120,110,80,80,50,70,80,100,100,110,60,70,60,40,60
6203,"Korea, South","4,610","5,180","6,050","7,430","8,790","11,590","11,740","10,430","10,040","10,480","9,400","9,030","8,890","9,420","10,190","10,910","5,850","4,310","3,450","5,290","6,110"
7101,Bangladesh,640,630,580,590,690,710,860,690,700,940,850,950,940,"1,040","1,160","1,240","1,370","1,380",910,910,"1,050"
7102,Bhutan,40,60,50,90,90,120,130,200,230,250,200,330,310,180,280,310,140,170,100,330,950
7103,India,"4,730","5,940","6,590","7,030","8,390","12,550","14,530","11,640","11,610","12,180","11,410","11,160","10,580","11,580","13,160","19,020","21,830","20,720","13,080","15,790","17,130"
7104,Maldives,50,60,60,50,80,70,80,70,60,80,70,90,90,60,70,40,50,50,20,60,60
7105,Nepal,220,240,170,150,350,630,"1,020",720,800,830,870,820,920,"1,070","1,410","2,570","2,630","2,590","1,650","1,910","2,180"
7106,Pakistan,690,710,650,800,790,860,"1,030",960,"1,070","1,380","1,340","1,500","1,740","1,820","1,920","3,300","2,940","2,320","1,520","1,810","2,060"
7107,Sri Lanka,"1,300","1,190","1,180","1,150","1,280","1,560","1,680","1,440","1,500","1,910","1,790","2,040","1,820","2,020","2,080","2,410","2,410","2,150","1,450","1,820","2,280"
7201,Afghanistan,200,200,120,130,170,170,270,180,200,360,210,190,220,200,270,270,210,190,280,310,430
7202,Armenia,10,10,20,10,20,10,20,20,30,20,20,20,30,30,30,30,10,30,20,20,20
7203,Azerbaijan,0,10,10,10,10,10,10,10,20,20,30,30,30,20,30,30,30,20,10,20,20
7204,Georgia,20,10,10,30,20,10,20,10,10,20,20,10,30,20,20,20,20,30,20,10,20
7205,Kazakhstan,20,30,30,40,50,40,50,60,80,80,90,100,100,100,90,100,90,70,70,80,80
7206,Kyrgyzstan,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,30,20,20,20,20
7207,Tajikistan,0,0,0,10,10,0,10,0,10,0,10,10,10,10,0,10,10,0,10,0,10
7208,Turkmenistan,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,10,0,0,0,0
7211,Uzbekistan,20,20,20,20,20,20,20,20,30,30,40,50,50,60,50,60,80,80,50,60,60
8101,Bermuda,10,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10
8102,Canada,"2,100","2,290","2,430","2,970","3,470","3,280","3,310","3,340","3,750","3,440","3,300","3,440","3,510","3,660","3,480","3,070","1,800","2,030","1,820","2,000","1,950"
8103,St Pierre/Mique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8104,USA,"7,380","7,730","6,980","10,460","11,350","9,340","8,300","8,450","10,110","9,560","9,170","9,920","9,130","10,020","10,040","8,500","4,660","5,260","4,340","4,670","4,350"
8201,Argentina,220,250,270,260,330,260,240,250,290,290,360,480,520,610,750,840,650,"1,220",550,"2,050","3,100"
8202,Bolivia,30,30,10,20,30,30,20,20,20,20,40,30,20,30,30,20,30,20,10,30,40
8203,Brazil,680,670,860,"1,160","1,630","2,050","2,090","1,800","1,800","1,890","3,450","2,180","2,670","3,000","3,680","4,380","2,250","2,080","1,580","3,200","4,070"
8204,Chile,410,400,340,480,510,600,620,650,750,800,830,870,920,"1,080","1,240","1,470",610,830,580,"1,560","2,110"
8205,Colombia,310,280,310,420,610,830,"1,000",930,970,"1,300","1,300","1,290","1,290","1,700","1,950","1,980","1,690","1,680","1,080","3,610","6,440"
8206,Ecuador,60,50,50,60,50,50,60,60,100,120,220,270,170,150,140,120,80,100,70,200,400
8207,Falkland Is,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
8208,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0
8211,Guyana,10,10,10,10,10,20,10,10,30,10,10,20,30,10,10,10,10,10,10,0,10
8212,Paraguay,10,10,10,10,10,10,10,10,10,20,20,20,10,30,40,30,20,20,20,40,30
8213,Peru,130,130,130,180,290,290,290,290,270,290,340,330,320,260,330,330,160,290,220,400,680
8214,Suriname,0,10,0,10,10,10,0,0,0,0,0,10,0,0,10,0,0,0,0,0,10
8215,Uruguay,110,110,80,110,100,80,100,90,100,80,90,80,80,100,140,170,110,130,90,220,240
8216,Venezuela,90,70,70,80,80,80,110,130,160,200,180,190,210,300,240,170,120,210,130,160,190
8299,"S America, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8301,Belize,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
8302,Costa Rica,10,20,10,30,20,20,20,20,50,30,30,30,30,40,30,30,20,20,20,30,30
8303,El Salvador,80,80,60,70,80,50,70,50,50,70,70,80,70,60,90,40,30,50,60,60,60
8304,Guatemala,10,0,10,10,20,20,10,10,20,20,20,40,10,20,30,20,40,10,10,30,30
8305,Honduras,10,0,0,10,10,10,10,10,0,10,10,30,10,10,10,10,0,10,10,10,10
8306,Mexico,190,240,220,230,380,270,310,280,390,390,320,380,390,430,460,560,300,340,270,530,610
8307,Nicaragua,20,10,10,10,20,10,20,10,20,20,20,20,10,10,10,10,10,10,20,20,10
8308,Panama,10,10,20,10,20,10,10,10,20,10,20,20,10,10,20,10,10,20,10,10,20
8401,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8402,Antigua/Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8403,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8404,Bahamas,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,10,0,0
8405,Barbados,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,0
8406,Cayman Islands,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0
8407,Cuba,0,10,20,20,40,10,20,20,20,30,30,30,30,30,40,30,10,20,30,30,20
8408,Dominica,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8411,Dominican Rep,10,10,0,10,10,10,10,20,30,10,20,20,10,20,20,20,10,20,10,10,20
8412,Grenada,10,0,0,0,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0,0,0
8413,Guadeloupe,0,0,0,0,0,10,0,10,0,0,10,10,10,10,10,10,0,0,0,0,0
8414,Haiti,0,10,10,10,10,10,10,0,10,10,10,10,0,0,10,10,10,10,0,10,10
8415,Jamaica,20,20,30,40,40,30,30,30,40,30,30,60,40,40,50,40,30,20,20,30,20
8416,Martinique,0,0,10,0,10,0,0,0,0,0,10,0,10,0,10,0,0,0,0,0,0
8417,Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8421,Puerto Rico,10,10,0,10,60,10,10,10,10,10,20,10,20,20,30,30,10,10,10,10,10
8422,St Kitts/Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8423,St Lucia,0,0,0,0,0,0,10,0,0,10,10,0,10,0,0,0,0,0,0,0,0
8424,St Vinc/Grenad,0,0,0,10,10,10,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0
8425,Trinidad/Tobago,30,20,30,40,40,30,30,40,50,40,50,70,50,30,40,20,20,20,30,20,20
8426,Turks/Caicos Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8427,"Virgin Is, Brit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8428,"Virgin Is, US",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
8431,St Barthelemy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8432,St Martin (Fr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8433,Bonaire/SE/Saba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8434,Curacao,0,0,0,0,0,0,0,0,10,0,0,0,10,10,10,10,0,0,0,0,0
8435,Sint Maarten Dp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9101,Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0
9102,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9103,Cameroon,10,10,10,10,10,10,10,10,20,20,30,30,20,30,10,20,10,10,20,10,10
9104,Cabo Verde,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
9105,Cent Africa Rep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9106,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9107,"Congo, Rep",10,10,20,10,10,20,10,10,10,20,10,20,20,10,20,30,20,20,20,20,20
9108,"Congo, Dem Rep",10,10,10,20,10,20,20,20,10,20,20,30,20,30,30,30,20,30,20,50,30
9111,Cote d'Ivoire,10,10,10,10,10,10,10,10,20,10,10,10,10,20,20,10,10,20,10,20,20
9112,Equator Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9113,Gabon,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0
9114,Gambia,0,0,0,0,0,10,0,10,10,10,10,10,10,0,10,0,0,0,0,0,0
9115,Ghana,90,60,70,70,50,70,80,80,100,120,110,140,150,140,120,170,190,140,90,110,120
9116,Guinea,0,0,0,0,10,10,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10
9117,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9118,Liberia,0,10,10,20,20,20,20,20,30,20,30,50,20,20,30,40,20,20,20,20,30
9121,Mali,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
9122,Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9123,Niger,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0
9124,Nigeria,120,80,90,110,100,120,80,110,140,150,210,200,170,200,280,260,320,230,230,240,290
9125,Sao Tome/Princ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9126,Senegal,10,20,10,10,10,10,10,20,10,10,20,10,20,10,10,20,10,0,10,20,20
9127,Sierra Leone,10,20,10,30,20,20,20,30,30,40,30,40,40,30,40,50,30,20,40,40,30
9128,Togo,0,0,0,0,0,0,0,0,0,10,0,10,0,10,10,0,10,0,10,10,10
9201,Angola,10,10,10,10,10,10,10,10,10,20,20,10,10,10,10,10,10,10,10,10,20
9202,Botswana,120,200,180,110,130,120,120,70,70,60,80,60,50,40,40,30,50,40,20,30,40
9203,Burundi,0,0,0,0,10,0,0,10,10,10,10,10,0,10,10,20,20,20,20,10,20
9204,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9205,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0
9206,Eritrea,20,30,30,30,20,40,30,30,20,20,30,30,20,20,40,50,20,40,40,30,50
9207,Ethiopia,50,70,80,110,90,90,80,120,100,140,140,150,130,120,170,230,130,160,150,150,190
9208,Kenya,340,330,320,300,320,350,360,370,340,400,370,380,370,370,430,400,340,340,320,370,410
9211,Lesotho,0,10,10,10,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
9212,Madagascar,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,10,10,20
9213,Malawi,30,30,50,40,30,30,40,40,60,60,70,40,30,30,50,40,40,20,10,20,20
9214,Mauritius,240,220,220,220,350,590,640,470,440,450,390,370,340,390,430,370,310,280,270,340,350
9215,Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9216,Mozambique,30,40,60,50,30,50,30,40,30,50,20,30,30,30,30,40,40,20,20,10,20
9217,Namibia,20,20,30,20,40,40,30,20,30,40,40,20,30,20,20,20,20,20,30,20,30
9218,Reunion,10,10,10,20,20,20,30,10,20,20,20,20,20,30,30,20,10,10,20,10,20
9221,Rwanda,10,0,10,10,10,10,10,10,10,10,20,10,10,10,10,10,0,10,10,20,10
9222,St Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9223,Seychelles,50,60,50,80,40,70,40,40,40,60,30,40,30,30,30,40,20,20,20,30,30
9224,Somalia,100,120,120,110,130,160,170,170,130,190,170,170,190,220,230,270,210,210,180,160,230
