SACC code(d),Country of birth(d),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(e)
3105,Malta,20,10,10,10,20,20,10,10,20,10,20,20,10,20,10,20,10,10,20,10,10
3106,Portugal,20,40,30,50,20,40,20,20,30,30,30,40,50,60,30,30,30,50,30,50,60
3107,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3108,Spain,90,80,80,120,80,90,100,100,100,170,200,200,220,300,340,370,200,280,190,560,510
3201,Albania,0,0,10,10,0,10,0,10,0,0,0,0,10,20,10,10,10,20,10,10,10
3202,Bosnia/Herzegov,60,60,50,60,40,40,50,40,60,80,60,50,40,40,50,20,30,80,50,40,60
3203,Bulgaria,10,20,10,30,20,30,20,20,10,10,20,30,20,20,30,20,20,20,20,10,10
3204,Croatia,50,80,70,70,50,50,40,40,40,50,50,40,30,30,40,30,30,40,30,40,30
3205,Cyprus,20,10,10,10,10,20,20,10,20,20,10,10,10,20,10,10,0,10,10,10,10
3206,North Macedonia,30,30,20,30,20,20,20,30,30,30,30,30,20,20,20,50,10,10,30,10,30
3207,Greece,60,70,50,50,40,40,40,30,40,40,30,60,40,50,50,40,20,40,40,40,40
3208,Moldova,0,0,0,0,0,0,0,0,10,10,10,10,10,0,10,0,0,0,0,10,10
3211,Romania,40,20,40,50,50,70,50,20,50,50,50,40,50,60,40,50,40,50,50,40,50
3212,Slovenia,10,10,10,10,10,20,10,10,20,20,20,10,20,20,20,20,10,20,10,10,10
3214,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3215,Serbia,10,10,20,20,20,20,20,40,30,20,30,30,30,40,30,20,30,60,40,30,40
3216,Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3301,Belarus,10,10,0,0,0,0,10,0,10,0,0,10,10,10,10,0,0,10,10,10,10
3302,Czechia,40,50,50,40,50,50,70,40,50,60,70,80,50,70,90,80,50,50,30,80,70
3303,Estonia,10,30,20,20,20,40,100,90,100,110,140,100,90,100,120,130,80,40,30,70,60
3304,Hungary,40,50,40,60,50,70,80,50,50,80,70,60,80,70,90,70,60,40,40,60,70
3305,Latvia,0,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20
3306,Lithuania,0,0,10,10,10,0,10,10,10,10,20,20,10,10,30,20,30,10,30,40,40
3307,Poland,80,110,100,110,90,110,140,90,90,110,100,130,110,130,150,120,80,90,80,90,140
3308,Russia,60,60,70,110,90,90,90,80,90,100,110,100,100,110,130,120,100,80,90,100,110
3311,Slovakia,30,30,30,20,30,30,30,10,30,30,30,30,30,40,40,50,20,20,20,20,30
3312,Ukraine,30,50,40,40,50,60,60,30,30,40,40,70,50,50,60,30,30,20,50,60,50
4101,Algeria,10,10,0,10,0,10,10,10,0,10,10,20,10,10,10,0,0,10,10,10,10
4102,Egypt,20,30,20,40,30,40,40,20,30,50,50,50,40,40,40,30,30,40,40,50,50
4103,Libya,10,0,0,10,20,30,30,40,50,80,10,0,10,10,10,10,0,20,10,10,20
4104,Morocco,10,0,10,10,0,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10
4105,Sudan,0,20,20,20,20,30,40,30,20,30,20,20,20,20,30,30,30,30,20,20,40
4106,Tunisia,0,10,0,0,10,0,0,0,10,10,10,0,0,0,10,10,0,0,0,0,0
4107,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4108,Sp North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4111,South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10
4201,Bahrain,10,30,30,30,30,40,30,20,30,20,20,10,10,10,10,10,10,0,10,0,10
4202,Palestine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4203,Iran,60,70,70,90,90,90,90,70,130,180,200,190,160,150,100,110,90,130,110,110,120
4204,Iraq,20,20,20,40,20,20,20,50,80,90,50,80,40,90,80,90,90,100,70,80,100
4205,Israel,30,40,40,40,60,30,50,50,50,60,60,60,40,70,60,60,30,50,40,50,80
4206,Jordan,20,20,10,10,10,10,20,20,10,30,30,20,20,30,30,40,30,20,20,20,10
4207,Kuwait,30,40,40,40,30,50,30,50,70,70,50,70,70,110,90,80,30,20,20,20,20
4208,Lebanon,20,20,20,30,20,30,30,30,30,30,30,40,30,30,30,20,10,20,20,20,30
4211,Oman,40,60,70,50,50,60,60,90,60,60,100,40,30,50,50,80,20,10,0,20,20
4212,Qatar,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,0,10,0,10,0,0
4213,Saudi Arabia,20,70,150,190,320,420,650,750,890,730,660,700,520,410,390,420,330,210,130,100,180
4214,Syria,10,10,10,20,20,10,10,10,10,10,10,20,0,10,20,10,10,20,10,10,10
4215,Türkiye,40,60,40,70,60,70,90,70,80,80,80,80,90,90,70,90,50,60,70,80,100
4216,Unit Arab Emir,30,50,80,90,120,140,120,120,80,80,70,70,80,60,60,70,30,30,40,50,60
4217,Yemen,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5101,Myanmar,20,30,20,20,20,30,30,20,30,40,30,40,30,60,50,60,30,30,30,30,30
5102,Cambodia,10,10,10,20,20,10,10,20,30,40,40,40,30,50,40,50,30,40,50,30,40
5103,Laos,10,10,20,30,20,20,20,20,40,20,30,20,20,20,20,20,20,20,20,20,30
5104,Thailand,390,370,360,340,370,400,460,440,410,400,400,400,440,530,560,590,310,270,380,600,690
5105,Vietnam,160,170,190,240,220,310,380,400,410,430,420,410,410,460,530,530,330,430,400,340,490
5201,Brunei,40,60,50,70,60,70,50,60,40,40,30,20,20,30,20,30,10,10,10,10,20
5202,Indonesia,570,660,630,500,480,460,470,410,540,610,540,450,460,470,500,500,380,320,270,400,490
5203,Malaysia,570,610,650,630,790,870,940,920,"1,070",940,910,920,"1,040","1,200","1,140",920,540,410,420,440,460
5204,Philippines,490,720,740,570,610,720,700,370,530,630,650,630,610,630,690,750,420,660,600,780,"1,150"
5205,Singapore,830,"1,040",990,"1,480",810,870,890,"1,450","1,630","1,070","1,660","2,120","1,040","1,540","1,380","1,780",380,280,"1,020",390,360
5206,Timor-Leste,20,10,10,10,10,10,10,10,30,10,10,30,10,20,20,20,10,10,20,70,150
6101,China,810,"1,060","1,110","1,280","1,410","1,990","2,490","2,840","2,780","2,570","2,570","2,710","3,120","4,550","6,780","9,280","6,920","3,520","2,650","3,380","4,350"
6102,Hong Kong,580,590,600,590,490,550,670,670,680,730,790,780,690,730,670,620,340,210,310,300,310
6103,Macau,10,10,10,10,30,40,50,50,60,50,40,40,40,40,30,60,40,20,10,10,20
6104,Mongolia,10,0,10,0,10,20,20,30,20,40,60,40,40,60,60,70,90,60,20,80,150
6105,Taiwan,"1,020",960,"1,020","1,000",990,"1,310","1,360","1,380","1,750","2,290","2,700","2,390","2,330","2,280","2,500","2,740","1,120",620,650,"1,070","1,500"
6201,Japan,"1,600","1,730","1,660","2,240","1,810","1,720","1,610","1,320","1,520","1,410","1,540","1,670","1,660","2,130","2,160","2,360",790,710,720,"1,660","2,310"
6202,"Korea, North",10,10,20,10,10,10,10,10,10,10,10,10,10,30,20,20,10,10,10,10,10
6203,"Korea, South",820,"1,000","1,220","1,760","2,340","3,410","3,270","2,770","2,710","2,750","2,350","2,200","2,190","2,390","2,630","2,790","1,500","1,090",870,"1,400","1,610"
7101,Bangladesh,50,40,20,50,50,60,60,30,60,80,70,80,100,130,110,100,90,80,80,80,100
7102,Bhutan,0,10,0,10,0,20,30,50,20,20,20,40,30,20,10,30,10,10,10,40,80
7103,India,410,580,630,730,840,"1,460","2,050","1,400","1,450","1,420","1,400","1,470","1,280","1,570","1,700","2,260","2,250","2,130","1,400","1,730","1,880"
7104,Maldives,10,10,20,10,20,20,10,20,10,0,10,10,10,10,10,10,10,10,0,10,10
7105,Nepal,10,50,20,10,40,60,90,70,110,50,120,100,120,140,170,230,200,230,170,150,200
7106,Pakistan,50,60,50,80,60,80,90,90,80,110,160,140,150,180,190,220,210,190,120,140,160
7107,Sri Lanka,110,140,110,90,120,190,150,150,180,240,210,220,180,230,240,310,220,220,170,200,260
7201,Afghanistan,10,10,10,10,10,20,20,20,20,30,10,10,20,20,20,30,20,20,30,30,40
7202,Armenia,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0
7203,Azerbaijan,0,0,0,0,0,0,0,10,0,10,10,10,10,0,10,10,0,0,0,0,0
7204,Georgia,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7205,Kazakhstan,0,0,10,10,10,10,10,10,20,20,20,30,20,20,10,30,20,10,10,20,20
7206,Kyrgyzstan,0,0,0,0,0,0,0,0,0,10,0,10,10,0,0,0,0,10,10,10,10
7207,Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7208,Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7211,Uzbekistan,0,0,0,0,0,10,0,0,10,10,0,10,10,10,10,10,10,10,10,10,10
8101,Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8102,Canada,540,600,670,770,860,860,950,"1,030","1,070","1,070",990,"1,000",930,"1,020",930,850,460,440,480,540,560
8103,St Pierre/Mique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8104,USA,"1,660","1,470","1,420","2,440","1,720","1,860","1,520","1,920","2,100","2,590","2,110","2,360","1,820","2,620","2,060","2,260",820,890,790,"1,010",910
8201,Argentina,30,40,40,50,40,50,30,40,50,40,50,70,80,110,110,120,70,120,90,370,630
8202,Bolivia,0,0,0,0,10,0,0,0,0,10,10,0,10,0,0,0,0,10,0,20,10
8203,Brazil,110,140,190,280,460,580,550,480,440,460,800,510,590,850,"1,040","1,190",550,490,430,"1,060","1,300"
8204,Chile,50,50,50,80,60,90,80,100,160,130,140,120,150,180,160,300,110,110,90,370,520
8205,Colombia,60,70,50,100,170,250,280,230,280,350,350,330,300,390,440,460,360,360,250,930,"1,570"
8206,Ecuador,10,10,10,20,10,10,10,10,30,50,60,60,40,40,60,40,20,20,20,80,130
8207,Falkland Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8208,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8211,Guyana,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
8212,Paraguay,0,0,0,0,0,0,0,0,0,10,10,0,0,0,20,0,10,0,10,10,10
8213,Peru,20,20,30,30,50,60,80,60,50,70,70,70,70,50,70,60,40,60,50,90,160
8214,Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8215,Uruguay,10,10,10,10,10,10,20,0,10,10,10,10,10,10,20,30,20,10,20,30,50
8216,Venezuela,10,10,20,10,10,20,30,30,30,50,50,40,50,80,60,40,30,30,40,40,40
8299,"S America, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8301,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8302,Costa Rica,0,0,0,0,10,10,0,0,10,0,10,10,10,10,0,10,10,0,0,0,10
8303,El Salvador,20,20,20,20,20,10,20,20,10,10,20,30,20,20,20,20,10,10,10,20,10
8304,Guatemala,0,0,0,0,10,10,0,0,0,0,10,10,0,10,10,0,0,0,0,10,0
8305,Honduras,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0
8306,Mexico,40,40,50,40,50,50,80,60,70,70,70,80,60,70,90,110,50,50,50,120,140
8307,Nicaragua,0,0,0,0,10,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0
8308,Panama,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,10,0,0,10
8401,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8402,Antigua/Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8403,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8404,Bahamas,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8405,Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
8406,Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8407,Cuba,0,0,10,10,10,0,10,0,10,0,0,10,10,10,10,10,0,10,0,10,10
8408,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8411,Dominican Rep,0,0,0,0,0,0,0,10,0,0,10,0,0,0,10,10,0,0,0,0,0
8412,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8413,Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8414,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8415,Jamaica,10,0,10,10,0,10,10,10,10,10,10,10,10,10,10,10,0,0,0,10,10
8416,Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8417,Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8421,Puerto Rico,0,0,0,0,10,0,0,10,0,0,0,0,0,10,0,10,0,0,0,0,0
8422,St Kitts/Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8423,St Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8424,St Vinc/Grenad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8425,Trinidad/Tobago,10,10,0,10,0,10,10,20,10,10,20,40,20,10,10,10,0,0,10,10,0
8426,Turks/Caicos Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8427,"Virgin Is, Brit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8428,"Virgin Is, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8431,St Barthelemy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8432,St Martin (Fr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8433,Bonaire/SE/Saba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8434,Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8435,Sint Maarten Dp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9101,Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9102,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9103,Cameroon,0,0,0,10,0,0,0,0,0,10,10,10,10,10,0,0,0,0,10,0,0
9104,Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9105,Cent Africa Rep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9106,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9107,"Congo, Rep",0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,10,10,10,0
9108,"Congo, Dem Rep",0,0,0,0,10,10,0,10,0,0,0,10,0,10,10,10,0,10,0,10,10
9111,Cote d'Ivoire,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
9112,Equator Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9113,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9114,Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9115,Ghana,10,10,10,10,0,10,10,10,10,20,10,10,20,30,20,30,20,20,10,10,20
9116,Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9117,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9118,Liberia,0,0,0,0,0,0,0,10,0,0,0,10,0,10,10,10,0,0,10,0,0
9121,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9122,Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9123,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9124,Nigeria,10,10,10,10,10,10,10,20,30,30,30,30,40,40,60,50,50,40,40,40,40
9125,Sao Tome/Princ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9126,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9127,Sierra Leone,0,0,0,0,0,0,0,0,10,10,10,10,10,0,10,10,0,10,10,0,0
9128,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9201,Angola,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9202,Botswana,20,40,30,30,20,20,20,20,10,10,10,10,10,10,0,10,10,10,10,10,10
9203,Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,10
9204,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9205,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9206,Eritrea,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,10,0,10,10,10,10
9207,Ethiopia,10,10,10,10,0,10,10,20,10,10,20,20,10,10,20,20,10,10,10,10,20
9208,Kenya,40,40,50,40,40,30,50,60,50,50,70,60,60,40,60,50,30,60,20,50,60
9211,Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9212,Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9213,Malawi,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,10,0,0,10,10
9214,Mauritius,20,20,20,10,10,30,30,30,30,20,30,40,20,30,40,30,30,20,10,20,20
9215,Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9216,Mozambique,10,10,20,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,0,0,0
9217,Namibia,0,0,0,0,10,10,10,10,10,10,10,0,10,0,10,0,0,0,0,10,10
9218,Reunion,0,0,0,0,0,0,10,0,10,0,0,0,0,10,10,0,0,0,0,0,10
9221,Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
9222,St Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9223,Seychelles,0,0,10,20,10,10,0,0,10,10,10,0,10,10,10,10,0,0,0,10,0
9224,Somalia,10,0,0,10,10,20,10,10,10,10,20,20,20,20,20,40,10,20,20,20,30
9225,South Africa,460,420,370,400,460,580,530,590,570,640,640,580,530,540,520,390,290,360,470,500,500
9226,Eswatini,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0
9227,Tanzania,10,20,10,20,20,10,20,10,10,20,10,20,10,10,20,10,10,10,10,10,10
9228,Uganda,10,10,10,10,10,20,10,0,10,10,10,10,30,10,20,10,0,10,10,10,10
9231,Zambia,30,20,20,20,30,30,30,10,30,30,60,30,10,20,30,20,20,20,10,10,10
9232,Zimbabwe,120,100,110,120,140,140,160,120,140,150,140,110,90,140,110,100,80,100,80,90,110
9299,"S & E Afr, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0000,Inadequately Described,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
,Total Australian-born,"13,370","13,300","13,230","13,580","12,100","11,730","12,190","11,240","12,060","13,320","14,520","14,350","13,530","13,160","13,150","8,730","5,540","8,400","12,180","12,130","11,410"
,Total overseas-born,"25,320","27,040","27,120","32,180","31,700","37,330","37,430","35,440","38,910","43,260","44,030","43,870","40,220","44,540","46,760","48,890","30,760","25,700","25,480","32,640","38,780"
,,,,,,,,,,,,,,,,,,,,,,
,Total,"38,680","40,340","40,350","45,760","43,800","49,070","49,620","46,670","50,970","56,580","58,540","58,220","53,750","57,700","59,920","57,620","36,300","34,100","37,660","44,770","50,190"
,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2025,,,,,,,,,,,,,,,,,,,,,,
