SACC code(e),Country of birth(e),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(f)
2406,Norway,880,690,720,730,590,700,710,620,540,510,440,460,430,480,380,330,90,310,380,390,320
2407,Sweden,"1,130","1,230","1,200","1,290","1,190","1,320","1,440","1,350","1,450","1,420","1,350","1,360","1,190","1,150","1,050",910,290,510,860,730,750
2408,Aland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3101,Andorra,0,0,0,0,0,0,0,0,10,0,0,10,10,10,10,0,0,0,10,0,10
3102,Gibraltar,20,10,10,10,10,10,10,20,10,10,10,10,0,20,10,10,0,10,10,10,10
3103,Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3104,Italy,"1,670","1,650","1,920","1,950","2,260","2,390","2,850","4,030","6,160","6,310","5,540","4,820","4,330","3,670","3,600","3,750",480,"1,790","4,460","4,270","4,780"
3105,Malta,240,200,260,240,170,160,210,170,180,120,110,120,130,140,130,130,40,60,120,120,90
3106,Portugal,380,360,370,420,430,380,420,560,700,550,440,480,430,390,320,390,120,240,440,500,410
3107,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
3108,Spain,660,610,690,740,730,820,"1,100","1,490","1,700","1,550","1,540","1,650","1,830","1,970","2,050","2,330",340,"1,020","2,980","2,520","2,280"
3201,Albania,150,190,150,160,210,180,120,170,220,310,280,230,240,250,220,200,30,120,250,180,130
3202,Bosnia/Herzegov,510,430,450,400,410,390,350,380,340,390,380,350,330,310,260,270,130,200,240,220,180
3203,Bulgaria,190,150,210,180,180,160,150,180,230,240,210,250,200,220,170,170,50,70,130,120,110
3204,Croatia,580,490,470,430,400,410,430,420,470,440,400,370,390,260,290,330,160,180,230,200,190
3205,Cyprus,150,180,160,160,160,160,180,210,260,260,210,170,190,120,130,150,60,90,130,120,110
3206,North Macedonia,750,750,710,760,660,630,570,580,640,730,560,580,590,590,470,440,170,400,620,370,320
3207,Greece,920,970,830,780,770,800,"1,140","2,370","2,700","1,980","1,340","1,350","1,160",940,700,850,230,430,600,510,440
3208,Moldova,40,50,50,60,60,60,50,80,80,70,70,50,70,50,70,60,20,60,120,70,70
3211,Romania,560,590,650,570,590,610,520,610,620,580,490,460,440,410,380,420,130,270,370,360,330
3212,Slovenia,80,130,150,150,120,110,130,140,170,150,170,150,140,110,110,100,30,50,70,70,70
3214,Montenegro,30,30,60,30,40,30,20,30,30,30,40,30,30,30,30,30,20,20,30,10,20
3215,Serbia,280,320,430,420,420,380,320,410,470,430,400,370,410,360,320,320,120,200,260,240,190
3216,Kosovo,0,0,0,0,20,30,20,30,30,20,30,40,40,30,20,30,10,20,30,20,10
3301,Belarus,80,100,80,70,90,70,100,110,120,130,120,110,100,110,100,120,40,110,160,80,80
3302,Czechia,640,600,680,640,620,650,610,610,710,680,680,640,600,500,480,460,120,200,430,300,340
3303,Estonia,110,140,190,270,610,650,730,840,"1,080",970,810,730,780,780,690,570,40,230,740,630,590
3304,Hungary,380,410,520,560,560,530,440,600,690,500,470,540,470,370,350,340,100,240,340,330,300
3305,Latvia,200,200,180,140,200,220,200,200,210,170,160,120,150,90,110,110,20,90,90,90,90
3306,Lithuania,140,130,110,160,150,200,230,270,290,270,280,310,340,310,280,210,50,190,310,240,180
3307,Poland,"1,260","1,210","1,260","1,240","1,270","1,260","1,210","1,330","1,410","1,340","1,380","1,380","1,490","1,250","1,170","1,090",340,690,"1,070",870,770
3308,Russia,980,"1,030",990,"1,360","1,410","1,280","1,390","1,410","1,720","1,430","1,370","1,190","1,410","1,330","1,270","1,390",430,"1,300","2,430","1,500","1,040"
3311,Slovakia,350,300,340,330,330,270,290,340,430,400,400,350,370,300,280,250,40,150,270,190,160
3312,Ukraine,500,550,520,600,580,590,620,730,730,750,810,690,730,670,690,580,240,"3,750","1,740",730,600
4101,Algeria,60,70,70,80,70,70,80,80,110,90,70,90,80,100,100,100,30,40,110,110,110
4102,Egypt,"1,180","1,300","1,520","1,610","1,330","1,270","1,180","1,360","1,950","1,520","1,360","1,510","1,540","1,540","1,540","1,480",600,"1,260","1,810","1,720","1,480"
4103,Libya,60,40,110,180,290,500,690,160,160,80,90,80,70,80,80,50,20,50,100,70,80
4104,Morocco,80,100,100,100,110,100,150,110,180,150,180,160,170,160,170,200,60,140,210,250,220
4105,Sudan,"5,760","3,880","2,580","1,140","1,060",860,830,650,670,590,560,520,580,540,390,480,270,360,670,470,580
4106,Tunisia,20,20,30,20,20,30,30,40,60,50,50,50,40,50,40,60,20,40,60,70,70
4107,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4108,Sp North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4111,South Sudan,0,0,0,0,0,0,0,20,100,140,330,220,420,220,110,60,50,100,130,110,200
4201,Bahrain,120,170,130,130,150,130,180,110,130,120,120,120,150,120,150,130,70,110,150,190,200
4202,Palestine,20,10,20,20,20,10,10,0,10,0,10,10,10,10,10,0,0,0,0,10,10
4203,Iran,"1,610","1,820","2,610","2,230","2,810","2,990","3,740","4,440","5,750","4,430","3,870","3,620","4,130","3,610","4,220","3,840","1,320","4,580","6,660","6,870","5,130"
4204,Iraq,"2,280","2,900","2,820","2,860","4,770","3,360","3,690","2,730","4,390","5,510","4,640","4,070","10,430","4,480","6,860","6,990",590,"4,250","3,660","3,780","3,230"
4205,Israel,780,780,870,990,780,680,690,680,680,660,600,660,830,700,690,850,270,400,720,"1,050",910
4206,Jordan,380,330,420,480,440,420,390,440,550,480,500,630,720,610,550,560,210,450,610,590,580
4207,Kuwait,210,320,330,350,470,510,570,700,560,510,480,490,540,510,460,450,200,490,540,840,"1,080"
4208,Lebanon,"2,270","2,190","2,800","2,480","2,100","1,960","1,870","2,080","2,130","2,060","2,120","1,770","2,090","2,030","2,030","2,240","1,250","2,210","2,100","2,820","2,590"
4211,Oman,220,200,200,240,230,250,180,210,250,280,390,480,390,300,220,160,80,210,230,370,310
4212,Qatar,80,70,70,90,90,90,70,110,110,120,130,170,190,260,270,200,110,210,400,510,430
4213,Saudi Arabia,680,"1,100","1,740","4,110","4,640","3,160","2,890","2,750","2,800","3,210","2,810","2,520","2,440","2,580","3,910","2,250",370,"1,910","2,650","3,030","2,430"
4214,Syria,320,340,360,390,470,370,500,530,540,"1,090","2,740","2,250","8,270","3,310","2,350","1,060",250,"1,360","2,260","2,370","2,460"
4215,Türkiye,"1,300","1,250","1,190","1,330","1,560","1,470","1,340","1,180","1,210","1,120","1,030","1,340","1,780","1,630","1,710","1,770",530,"1,260","3,380","2,980","1,920"
4216,Unit Arab Emir,470,590,660,820,870,870,810,850,780,810,"1,010","1,240","1,490","1,530","1,550","1,220",710,"1,260","1,690","2,110","2,200"
4217,Yemen,40,20,20,30,40,30,20,20,30,30,30,60,80,100,110,60,30,70,150,220,130
5101,Myanmar,660,970,"2,040","2,600","2,700","2,330","1,530","2,190","2,480","2,050","2,240","2,240","1,940","1,960","2,900","2,200",370,"1,760","2,480","2,430","2,000"
5102,Cambodia,880,890,"1,110","1,060","1,190","1,430","1,220","1,340","1,250","1,480","1,450","1,650","1,640","2,040","1,980","1,810",410,"1,990","2,280","2,300","2,160"
5103,Laos,230,220,300,290,340,320,440,340,270,310,300,320,340,370,340,430,40,370,680,600,360
5104,Thailand,"5,080","5,980","7,090","7,950","8,470","6,780","5,380","5,770","6,970","8,260","8,560","8,710","8,460","6,430","7,370","6,030","1,300","9,070","16,340","7,820","5,870"
5105,Vietnam,"4,280","5,720","7,370","9,720","11,370","9,630","8,240","8,300","11,210","12,260","10,720","11,440","11,920","11,440","12,360","13,180","2,700","12,640","22,210","23,840","13,950"
5201,Brunei,310,290,300,430,280,260,220,200,190,160,190,240,250,180,200,160,50,230,200,220,260
5202,Indonesia,"6,160","6,950","7,000","7,950","8,200","7,780","7,150","6,900","6,770","6,880","7,350","7,330","8,310","7,820","8,720","8,670","1,520","7,850","15,960","14,510","13,340"
5203,Malaysia,"9,650","10,170","11,480","12,620","12,810","12,300","12,060","11,940","11,940","11,710","13,890","19,260","20,140","19,050","14,020","10,550","1,970","7,460","9,480","7,630","6,490"
5204,Philippines,"7,900","10,140","13,150","15,120","15,560","12,520","13,240","16,910","17,010","15,890","15,780","16,430","17,120","16,370","22,780","19,460","3,910","17,330","47,120","36,120","25,560"
5205,Singapore,"6,190","6,000","6,060","6,540","6,200","6,230","6,540","6,930","6,810","5,330","5,570","5,470","5,920","5,000","4,740","3,660","1,580","4,580","4,280","4,090","3,780"
5206,Timor-Leste,110,220,120,120,170,150,140,180,150,170,120,120,110,100,160,"1,310",200,830,"1,980","1,550","1,450"
6101,China,"28,870","30,370","39,540","49,200","48,540","49,020","41,210","40,150","46,560","53,130","62,280","70,190","77,760","82,320","71,810","60,150","9,260","44,280","82,220","74,400","69,860"
6102,Hong Kong,"5,420","5,110","5,530","5,400","5,040","5,420","5,340","4,990","6,120","6,540","6,330","6,070","5,800","5,030","5,540","6,120","2,890","10,040","9,740","6,850","5,390"
6103,Macau,160,180,240,250,260,260,260,180,200,190,260,270,270,200,250,160,20,300,250,220,220
6104,Mongolia,130,100,120,170,270,210,230,240,300,480,770,"1,040","1,300","1,560","2,050",990,50,910,"6,440","3,550","1,040"
6105,Taiwan,"2,970","3,310","3,480","4,250","4,740","4,990","6,290","9,010","13,350","11,810","11,020","10,530","10,350","10,440","8,340","5,180",710,"4,670","10,390","8,800","7,870"
6201,Japan,"8,280","8,480","8,260","8,020","6,520","6,290","6,270","6,320","6,330","6,180","6,230","6,690","6,500","5,990","5,950","4,410","1,480","4,800","8,420","8,590","7,350"
6202,"Korea, North",40,50,60,50,70,80,70,70,70,90,110,90,90,90,70,80,20,40,50,50,50
6203,"Korea, South","10,110","13,290","15,500","17,190","17,030","14,760","13,850","14,370","14,560","12,780","12,360","12,310","12,230","11,340","10,030","6,590","1,120","6,350","10,470","9,180","8,450"
7101,Bangladesh,"2,820","2,370","3,480","3,190","3,350","3,440","2,940","3,000","3,210","3,390","3,740","3,780","3,880","3,950","3,740","3,900",820,"4,180","7,310","10,660","12,330"
7102,Bhutan,70,50,100,150,740,800,"1,050",880,830,"1,460",850,880,"1,300","1,810","2,210","2,260",20,"1,860","13,570","9,890","4,100"
7103,India,"21,070","27,770","43,660","56,810","68,350","36,610","23,760","30,390","35,280","45,520","49,810","52,020","60,310","67,440","86,350","78,830","11,190","64,290","108,100","85,920","74,540"
7104,Maldives,90,80,60,100,100,100,100,90,110,110,120,80,80,70,70,110,10,70,120,120,90
7105,Nepal,630,"1,160","4,300","8,110","11,610","3,370","1,760","2,790","3,980","8,140","7,270","8,800","15,800","22,070","25,470","15,910",540,"23,610","29,660","20,070","18,480"
7106,Pakistan,"2,170","2,570","3,570","3,860","4,320","4,430","4,860","6,190","7,320","8,240","8,570","8,220","8,730","9,650","9,430","8,900","2,210","9,500","19,150","16,060","11,440"
7107,Sri Lanka,"4,110","4,990","6,430","7,900","7,840","6,230","5,240","6,020","6,630","5,680","5,910","6,240","7,330","7,500","9,070","9,370","1,580","8,150","15,430","16,580","14,710"
7201,Afghanistan,"1,820","2,730","2,370","1,850","2,030","2,310","2,210","1,790","2,690","4,560","3,100","2,950","3,200","3,510","3,300","3,340","1,680","7,470","6,980","10,670","8,920"
7202,Armenia,40,50,40,40,30,40,30,50,50,70,50,50,50,50,40,50,20,60,60,50,50
7203,Azerbaijan,20,20,30,20,40,40,50,50,50,70,70,50,50,60,50,30,10,50,80,50,40
7204,Georgia,40,30,50,40,30,40,30,50,70,50,40,50,50,50,60,40,40,60,70,90,80
7205,Kazakhstan,90,100,110,140,170,160,170,220,210,180,210,180,210,200,190,220,60,210,280,240,230
7206,Kyrgyzstan,30,40,40,50,30,40,50,30,40,40,40,50,50,40,60,40,10,50,90,70,50
7207,Tajikistan,10,10,20,10,10,20,20,20,10,20,20,10,10,10,20,10,0,10,20,20,20
7208,Turkmenistan,0,10,0,10,10,10,0,10,10,10,10,10,10,10,10,10,0,10,10,20,30
7211,Uzbekistan,80,110,90,100,130,90,90,120,120,110,130,130,130,140,140,140,20,140,230,240,310
8101,Bermuda,20,20,20,20,20,20,20,30,20,30,20,10,10,20,10,30,10,20,20,30,20
8102,Canada,"3,750","4,090","4,220","5,100","5,030","4,810","5,200","5,580","5,290","4,600","4,490","4,550","4,550","4,460","4,460","3,930","1,400","2,980","3,900","3,730","3,460"
8103,St Pierre/Mique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8104,USA,"10,700","10,430","11,380","12,540","13,160","12,740","13,350","15,460","14,650","11,880","11,620","11,460","11,880","10,940","10,670","10,360","4,650","5,930","7,950","7,800","7,580"
8201,Argentina,460,380,380,380,400,510,400,510,820,760,800,990,"1,180","1,490","2,460","3,440",260,"2,260","6,800","4,720","3,680"
8202,Bolivia,40,40,40,50,40,50,60,70,70,40,30,40,50,50,70,80,20,50,140,100,50
8203,Brazil,"1,860","2,680","3,340","4,080","3,580","2,940","2,650","3,050","3,250","5,450","5,810","8,010","10,170","9,260","8,180","6,170",510,"4,920","13,710","9,230","5,240"
8204,Chile,530,610,760,830,930,910,"1,000","1,120","1,040","1,010","1,280","1,670","1,900","2,290","2,530","2,770",200,"1,750","5,010","3,510","2,780"
8205,Colombia,590,970,"1,700","2,260","2,590","2,080","1,680","2,260","2,540","2,570","2,910","3,890","4,980","5,350","6,910","6,630",240,"2,790","23,930","10,360","2,250"
8206,Ecuador,90,90,80,120,110,120,120,130,260,480,300,150,190,190,200,270,40,170,"1,250","1,510",590
8207,Falkland Is,0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0
8208,French Guiana,0,0,0,0,0,10,0,0,10,10,0,10,10,10,10,0,0,0,0,10,10
8211,Guyana,10,20,20,20,20,20,30,30,30,20,20,20,20,10,20,10,0,10,10,10,10
8212,Paraguay,20,30,20,10,30,30,20,20,20,20,20,20,80,40,50,60,10,60,100,90,70
8213,Peru,360,600,780,990,990,730,540,570,600,480,510,500,580,700,750,890,110,590,"2,370","1,800","1,210"
8214,Suriname,10,10,10,10,10,10,10,10,20,10,10,0,10,0,0,10,0,0,10,10,0
8215,Uruguay,120,140,100,130,90,80,100,130,100,110,130,130,200,220,340,260,40,240,460,360,310
8216,Venezuela,170,250,280,470,450,650,640,570,530,510,720,850,780,360,340,460,110,250,780,610,330
8299,"S America, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8301,Belize,0,0,0,0,0,10,10,0,10,0,0,0,0,10,0,0,0,0,0,0,10
8302,Costa Rica,20,30,30,40,30,30,40,40,40,60,40,50,40,60,60,50,10,50,60,50,30
8303,El Salvador,110,100,90,130,160,170,140,110,100,110,100,120,110,120,130,140,50,80,170,100,60
8304,Guatemala,20,10,30,30,30,20,30,30,30,50,40,40,30,40,70,50,30,70,140,90,50
8305,Honduras,10,10,20,20,20,10,10,20,20,50,20,10,20,20,30,50,30,30,80,40,20
8306,Mexico,350,410,510,580,580,630,680,730,700,710,690,860,850,890,980,900,160,640,"1,600","1,260",930
8307,Nicaragua,10,20,20,20,20,20,30,30,40,30,20,30,20,20,30,20,10,20,20,30,10
8308,Panama,20,20,10,20,20,30,30,20,30,30,20,30,20,10,30,40,10,30,30,30,20
8401,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8402,Antigua/Barbuda,0,10,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0
8403,Aruba,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
8404,Bahamas,10,10,10,20,10,10,10,20,10,10,10,10,10,10,10,10,0,10,10,10,10
8405,Barbados,10,10,10,30,20,20,10,20,20,10,20,20,10,10,10,20,10,10,10,20,10
8406,Cayman Islands,0,10,10,10,10,10,10,10,20,10,10,20,10,10,10,10,0,10,10,10,10
8407,Cuba,30,50,50,60,60,50,40,70,90,40,50,50,60,60,60,70,10,40,80,60,40
8408,Dominica,10,0,10,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8411,Dominican Rep,10,10,10,20,10,20,30,30,30,30,30,20,30,30,30,30,20,30,60,40,30
8412,Grenada,10,0,0,10,0,0,10,10,10,10,10,10,0,10,0,0,0,0,0,10,0
8413,Guadeloupe,0,10,0,0,0,0,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10
8414,Haiti,10,10,0,10,10,10,10,10,10,20,10,10,10,20,10,10,0,10,20,20,10
8415,Jamaica,50,50,40,60,50,50,90,60,90,60,70,60,80,60,60,60,30,40,70,30,50
8416,Martinique,0,0,10,10,0,10,10,10,10,10,10,10,10,0,10,10,0,0,10,10,10
8417,Montserrat,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8421,Puerto Rico,10,10,10,30,10,20,10,10,30,20,20,20,30,30,20,30,0,10,20,20,10
8422,St Kitts/Nevis,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0
8423,St Lucia,0,0,10,0,10,10,10,20,10,10,10,0,10,10,0,0,0,0,0,0,0
8424,St Vinc/Grenad,0,0,0,0,0,0,10,0,10,10,10,0,0,0,0,10,0,0,0,10,0
8425,Trinidad/Tobago,50,70,80,90,60,60,80,100,130,110,70,60,50,60,60,60,20,50,60,60,70
8426,Turks/Caicos Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8427,"Virgin Is, Brit",0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0
8428,"Virgin Is, US",0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,10,0,0,0,0,0
8431,St Barthelemy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8432,St Martin (Fr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8433,Bonaire/SE/Saba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8434,Curacao,0,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,0,0,10,10,0
8435,Sint Maarten Dp,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0
9101,Benin,0,0,20,20,10,10,10,10,0,10,10,0,10,10,10,10,0,0,10,0,10
9102,Burkina Faso,0,0,10,10,0,10,0,10,0,0,10,0,0,0,0,10,0,0,10,0,10
9103,Cameroon,30,30,30,40,40,60,70,40,50,50,60,60,50,60,50,60,20,50,70,100,60
9104,Cabo Verde,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,0,0,10,10,0
9105,Cent Africa Rep,0,0,0,10,0,0,0,0,0,10,0,0,0,0,60,80,0,0,20,100,20
9106,Chad,0,0,10,10,0,10,10,10,10,0,10,0,0,0,20,30,0,0,10,30,10
9107,"Congo, Rep",300,120,130,50,110,120,100,190,40,30,30,50,80,50,50,60,30,50,50,80,40
9108,"Congo, Dem Rep",50,190,610,540,320,620,450,500,300,570,460,650,360,650,"1,500",710,50,220,260,"1,370",740
9111,Cote d'Ivoire,130,70,90,80,90,100,40,50,30,40,40,20,50,20,30,40,10,20,20,30,30
9112,Equator Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9113,Gabon,0,0,10,0,10,0,0,10,10,0,10,10,10,0,10,0,0,0,10,10,10
9114,Gambia,0,10,10,10,0,10,10,10,20,10,20,10,0,10,10,10,0,10,10,10,10
9115,Ghana,230,330,370,330,300,370,330,430,440,420,440,500,540,500,460,400,130,530,990,"1,080",840
9116,Guinea,160,110,150,100,70,170,70,70,40,60,50,30,100,40,40,20,20,70,30,30,40
9117,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9118,Liberia,860,570,570,270,310,340,110,170,130,160,90,100,140,80,50,40,40,80,100,80,80
9121,Mali,0,0,0,0,0,10,0,10,10,0,10,0,10,0,0,10,0,0,10,0,10
9122,Mauritania,0,10,0,50,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0
9123,Niger,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,0,0,0,10
9124,Nigeria,280,330,460,460,610,630,580,630,850,"1,040","1,210","1,620","1,850","1,310","1,260","1,130",330,"1,850","2,720","2,480","1,690"
9125,Sao Tome/Princ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9126,Senegal,20,20,20,70,20,20,20,20,20,20,20,20,20,30,20,30,10,20,30,20,30
9127,Sierra Leone,680,560,540,300,260,440,160,180,150,150,80,70,140,190,60,70,50,140,100,90,70
9128,Togo,10,10,50,110,50,60,50,20,20,20,10,10,10,10,10,10,0,10,10,10,10
9201,Angola,20,20,30,30,20,20,20,20,20,20,20,20,20,20,10,20,10,0,30,20,10
9202,Botswana,220,130,170,180,150,130,120,100,130,80,80,90,110,110,110,100,30,80,170,180,150
9203,Burundi,260,450,450,240,210,140,80,90,80,110,150,120,100,200,330,220,30,90,120,280,240
9204,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
